id1,id2,tstart,tend
316,315,4522000,5488000
318,315,6375000,7609000
323,320,6493000,7571000
325,326,1665000,2726000
329,325,3114000,3840000
326,325,4644000,6360000
333,330,823000,1932000
332,330,4880000,6008000
337,335,942000,2380000
339,335,3234000,3854000
335,336,4196000,5247000
346,345,0,1526000
346,345,6267000,7294000
350,351,2359000,3456000
350,351,3472000,4505000
358,355,4096000,4972000
363,360,0,872000
364,360,1649000,2995000
367,365,6386000,7315000
374,370,0,812000
374,370,2480000,4102000
374,370,4968000,5603000
377,375,3226000,4344000
384,380,5729000,6434000
388,385,6317000,7346000
393,390,2412000,3106000
391,390,4853000,5703000
393,390,5751000,6413000
396,395,2341000,3706000
401,400,3960000,4865000
400,401,5373000,6378000
408,405,3787000,4480000
406,405,5197000,5964000
414,410,2250000,3152000
412,410,5878000,6919000
417,415,4394000,5258000
419,415,6997000,7769000
423,420,2616000,3334000
423,420,5318000,6247000
426,425,940000,2033000
427,425,2754000,3394000
428,425,5794000,7331000
433,430,0,1089000
431,430,2171000,2954000
431,430,3797000,4541000
438,435,2383000,3460000
437,435,6929000,7795000
441,440,0,1315000
441,440,1999000,3195000
444,440,6410000,7130000
449,445,0,1193000
447,445,2111000,2771000
449,445,4190000,5428000
451,450,2901000,3666000
456,455,884000,2013000
458,455,3768000,5385000
459,455,6313000,7198000
463,460,2058000,2909000
460,461,3260000,4283000
467,465,0,770000
468,465,910000,1822000
465,466,2369000,3606000
466,465,4755000,5806000
472,470,1077000,2571000
472,470,4256000,5166000
475,476,1234000,2929000
476,475,4785000,5518000
480,481,828000,1865000
483,480,4388000,5397000
489,485,640000,1404000
485,486,3748000,5364000
493,490,1340000,2231000
492,490,2394000,3738000
497,495,1140000,1970000
496,495,5977000,6917000
503,500,6420000,7637000
509,505,1151000,2333000
505,506,2647000,3618000
519,515,6439000,7301000
522,520,3086000,4132000
520,521,5541000,6410000
526,525,1099000,1976000
544,540,0,1519000
540,541,2825000,4591000
549,545,2825000,3525000
547,545,6532000,7492000
553,550,2166000,3141000
553,550,3469000,4162000
553,550,5636000,6474000
553,550,6948000,8005000
556,555,3006000,4025000
557,555,4502000,5442000
563,560,650000,1781000
564,560,2455000,3227000
566,565,0,868000
566,565,1460000,2309000
566,565,3382000,4227000
567,565,4623000,5932000
574,570,1000,955000
571,570,2921000,4592000
570,571,5267000,5969000
576,575,0,772000
578,575,2180000,3740000
577,575,4690000,6172000
581,580,1125000,2150000
583,580,3401000,4507000
582,580,5633000,6567000
586,585,0,795000
585,586,2801000,3816000
593,590,6257000,7322000
599,595,1888000,3058000
602,600,1333000,2738000
608,605,0,1008000
608,605,3757000,4848000
609,605,6183000,7931000
613,610,0,794000
614,610,3044000,4144000
620,621,0,1088000
622,620,5180000,5958000
626,625,1541000,2999000
633,630,6848000,8003000
636,635,3062000,4684000
644,640,0,842000
642,640,1528000,2342000
640,641,2618000,3359000
642,640,4599000,6083000
645,646,1553000,2321000
649,645,2756000,4493000
646,645,6214000,7157000
651,650,2605000,3397000
653,650,4234000,5294000
659,655,0,873000
657,655,4300000,5503000
658,655,5855000,7181000
664,660,0,945000
667,665,5377000,6379000
668,665,6985000,8152000
670,671,0,891000
670,671,3156000,4513000
675,676,1000,1200000
677,675,5653000,6957000
684,680,0,1658000
682,680,4182000,5246000
682,680,5612000,6807000
692,690,1227000,2406000
690,691,2773000,3547000
690,691,4893000,5685000
